ResourceID,Grid ID,Grid Square Geometric Place Expression
607c3e78-8dc9-4118-9dc9-b547bca4044c,E00N26-31,
64bd580e-d182-4cd2-8958-b9db7b4ba22d,E00N26-33,
e8630683-3010-4f1d-860e-ff948627c593,E00N29-11,
793d3e15-37cc-4e6e-a1e9-681be97e157b,E00N29-13,
0884cbd7-2392-4dc2-821c-b82c0210bfa6,E40N21-32,
2e5d6b4d-3562-49a3-98d9-734d155c715c,E00N29-14,
cf9f1571-1d0d-40af-abf6-7a16e13e0e75,E00N29-32,
a19f11e5-f481-41f1-ba5a-3cb1c1e068ce,E11N26-12,
10b1c8c7-24ab-462e-8f9f-444b2dff6231,E11N26-42,
9bfe8c22-c4f6-44ae-9285-846122ec09c5,E12N26-14,
a568debd-1b4e-46c7-85d6-43e732d5e893,E12N26-22,
4a69ebf7-5f8c-4542-9ac5-0a67ae843e8d,E12N26-23,
816230d8-4187-4045-b89f-6cf912d5aae2,E12N26-24,
d15c0f4a-36a8-47d7-a5bc-11e3d307df56,E12N26-31,
fc27a590-a87d-4ba1-9e72-5167701869c6,E12N26-32,
6b817e84-66a1-4bf4-a070-2e9822ab31c4,E12N26-33,
c8e322f1-e66e-4066-bd3f-e6f3667c322e,E12N26-34,
e6a1e2ea-5fec-4f97-ab10-91643a93f5c4,E12N26-41,
5150eb11-072a-498a-87f7-b1639c401c31,E12N26-42,
b2279e02-cfdc-4b56-9f99-695b8b2c313a,E13N25-32,
edfbdbc8-57bc-45e3-ba90-e24b0afe3ff4,E13N25-33,
424c7d73-59e6-4511-ad40-41184ba61cea,E13N25-34,
d36d2887-e649-41cb-a765-1638865a5674,E13N25-43,
7ed96cc8-e754-4126-85c3-d70e567fdde0,E36N35-31,
dc39428a-6c93-4ebf-bb41-b3cf92de1f16,E13N25-44,
75dd215e-d1d4-49ca-9eee-28aa5ea3b1fd,E13N26-12,
cbf4d911-e681-4c18-85c1-a4eddd1552f3,E13N26-13,
6b974942-daeb-4fe6-ba0b-2e3c367c72f1,E13N26-14,
d5964c73-2569-4619-8f33-7f994c4645bd,E13N26-21,
b3433cbd-153e-4611-af83-983109ca65b2,E13N26-22,
4f66aba3-4025-4fd4-bcd5-991603da9da7,E13N26-31,
162a818e-db2a-4bcb-94b0-99da4f6b7f54,E13N26-32,
4ed7a672-8edf-4ccc-80f0-19f719d910fa,E13N26-41,
fa478927-7c71-4683-bbf8-e48e878c0a31,E13N26-42,
6e4fefa4-ca5a-4529-91d4-38477adfb71f,E13N26-44,
cca7eaf8-ed4a-4dfe-9bba-f0253c91740f,E13N27-13,
26cbf413-ac68-416b-94ee-541d3982b50a,E13N27-24,
1930ac4a-f5bc-4bc9-b707-f201fac6145c,E13N27-31,
65d1078a-4ea6-4f2d-994d-d4d4e0db575c,E13N27-41,
4278e703-5af7-4911-b66d-29977ec560ac,E14N25-33,
475fabad-c8f7-481b-b4be-5cd880daa7ab,E14N25-34,
94d32abb-c58a-47a6-80db-eea41703bf10,E14N25-43,
5876d102-c17b-4119-81ee-39026c285dca,E14N26-13,
359d1095-9e6f-4e38-b9a7-27c6db6475d8,E14N26-14,
4aab07a7-12a0-4747-8a9f-8e99cbfc257e,E14N26-21,
b9301549-ec92-45a8-b992-46f90337eab2,E14N26-22,
9581bc20-3f81-4b87-906b-6c9ff831bbbf,E14N26-32,
0cfaafa6-5893-43e1-8f57-9ae6ebb19ce8,E14N26-33,
11889a02-000d-44f2-b056-efc89bc4b0ea,E14N27-12,
