ResourceID,Name
001fee32-317a-4cda-8462-d4eaa60d0dca,"Panahipour, M"
00486a7a-e029-4032-bc64-ea1ec2fe8742,Ayman Abdurabbah
004f5b23-951f-40a8-8d4b-0916a91dcf0a,Abdruraouf Aldarebi
00683852-3f64-42a9-990f-34f825050aa1,"Stacey, D."
00724873-2614-4728-8513-bf38307f26d3,"Director: Robin, C."
00797c81-e1de-49cc-a28c-2a42576b919d,"Gabriel, M."
009c24be-4ff0-4bfe-8186-838a7ad79297,"Wilkinson, T.J."
00c9b987-85c7-4b5f-b75f-42a3666770b1,"Brüning, M. L."
00ec21ed-268f-4ca6-bac3-b06aa4dc471f,"Cleuziou, S."
00ec21ed-268f-4ca6-bac3-b06aa4dc471f,S. Cleuziou
012a8a9d-3f26-4b49-9e19-08c2e1fb5c84,"Bafâqîh, M."
017bed06-0fd2-449a-8b40-8b8e922df0be,"Kirkebride, D."
01949832-d231-4293-8e2e-6211d07b7603,L. Khalil
019b478b-992e-4b60-b0f7-8c5d28981b83,"Bâtayîʿ, A."
01ac7f3e-352f-4102-8d60-9e8ba81db9c3,"De Maigret, A."
01cbff9e-2c29-45fe-905b-494d69a5c47f,"Hanoune, R."
020bcb4d-e545-465d-ae11-f7d8f9ac510f,Harmen Huigens
020e63f1-9faa-4e15-abec-8c0478b98a4a,"Chaya, A."
029a407f-ce4c-402f-91cd-3f9952ffc7bf,"Clermont-Ganneau, C."
02d5822d-0d38-4d08-8ccb-7e41ca1603c1,"Netzer,E."
02f9a13e-c56e-404e-90e9-19e44b136e98,Lorenzo Nigro
03130b3a-0efc-468a-b4c7-c05daf362518,A.A.B. Al-Shanfari
03182277-1f01-4f23-95b3-9fbd32865977,"Philby, H.St J.B."
032ff695-593f-4e63-9180-53cf9937d2d9,"Stuart, B."
034907e2-cb77-47f1-b1ee-2d1f5155aac6,"Gibson, McG."
03567dae-b5b1-4d44-a663-0706bf124427,"Khamis, E."
03887592-c45a-400a-8c72-197b3f985999,"Humphrey, J."
03ac9a7c-10a1-4ab5-8f81-5092269bb907,Belgacem Gdiri
03bfb190-16ed-4cac-90c0-0e110d1e0958,"Dulière, C."
03cab0b1-7772-4cf4-b225-25636056f2ee,Latif Oksuz
03d1bd24-ad67-451d-8498-2783ff6bae3b,"Babelon, E."
0410b9db-a63e-4dde-84bb-cd0e8ef01039,"Rghei, A."
04150856-bc12-4955-b738-bb2628ef0b74,I. Thuesen
04150856-bc12-4955-b738-bb2628ef0b74,"Thuesen, I."
0429645c-01bd-4377-a27e-0d840ef4152b,Garrard et al.
047c0a0b-7904-49ab-8091-b1092f983eac,"Darles, Ch."
04830253-59d2-4a0c-9b69-341acdaf32d8,"Buzaian, A."
049b5da3-d2ea-4e28-b5ba-aed957fab335,Rocio da Silva
04c2f397-e07d-4067-94e4-e4376bcc11fa,"al-Radi, S."
04c2f397-e07d-4067-94e4-e4376bcc11fa,"Al-Radi, S."
04d70d73-062b-48ac-8c02-d9944398eb50,"'Amr, K."
053b581c-8fa2-46d6-a45e-4a4c6aeb5fff,"Marfoe, L."
055b9845-0cbf-48e5-a1ed-cf5c30c16e15,جمعية حماية الآثار السورية
05675a70-5c77-4b9d-950f-ee4de6ad9580,"Eklund, A."
058ee465-793b-4998-99f9-a1b8ca28fdb0,"Guy, H."
05b0a707-527f-412c-880e-68fc989a9009,"Walmsley, A"
05be0f56-0c88-4910-ab2d-6a360e7651c9,"Hamilton, R.A.B."
05c10f70-b9f9-4f21-8315-0cd700671b2a,"Norris, H. T."
05c17975-abbc-4489-ae03-d4307485c593,Robert Bewley
05f4d94b-03df-43e1-a5a0-6caf85734078,Philostorgius
060934d6-4f7d-4d56-ba27-67a0bafa50a1,"CNES_2015, AIRBUS DS Geo"
0634c98d-100d-489c-b583-ed2eefd0a73d,"Haidar-Boustani, M."
064a41ee-bffb-459a-9292-a138f7b18ecd,"Feldman, C."
069dc9d8-c0db-45fd-a4d9-b8cc1c9b7ab4,"Walda, H.M."
06c08b67-c090-41e6-8204-b240d9d8cf8a,"Judd, M. A."
06e08087-a521-4f51-af7b-f45b9154c496,T. Vosmer
06ec5933-9b46-49e3-bad5-65e35b43a533,"Reddé, M."
073a1e68-d3b7-4271-8fc1-38c0bc58e0e5,"Morrow, M."
074c2cec-89be-4b42-bf60-8f84fe03aadc,MJN
07611b52-a5ce-48c1-97cb-99812a50a384,"Dinur, R."
076eb886-71ba-4ab0-836e-048d3dd7fe28,"Romanelli, P."
07d3201f-8ba8-4d98-84df-d351d13940d6,"Villiers, L. E."
07eb67ba-4d93-49ff-add6-e954af11df01,"Rhodes, S."
082a1a3a-b618-450f-96d7-15d6812f44ff,Crystal Safadi
083a94d7-d8bb-421c-a822-cd90f6bc4f1d,"Bayle des Hermens, R. de"
0858c223-3160-4772-936a-c63b1061e8d7,S.K. Brown
0864f43a-ac3d-4974-b079-54b7febcf47d,"Jotheri, J. H. A."
087844ec-12a0-474a-b242-5eb9ddc0c140,Adams (1972)
08b7e4bb-7aca-4a30-b9f2-e9a20653cc53,"Müller, W. W."
08bbb5a6-87a8-43ab-b558-108b41558868,"Baer, E."
08cf732c-1a83-48ca-8ff9-6eae01bc0db7,"Zissu, B."
0923d69c-546c-4e65-ba8f-264fd06bd587,S.T. Parker
094f249d-eb08-4585-96d8-1a88495e01c4,"Crassard, R."
097f569d-5d19-4b80-af7d-8d4c84cd0c93,"Josep, T."
09da5651-d891-4b9e-b6b9-2d5bc3945265,L. Saint-Jalm
0a12a5a5-22a9-4bf4-9590-e5bdf0b1c8f7,"al-Khaṭīb, Muḥibb ad-Dīn"
0a17355e-9ab9-4f31-a88e-c7525c462817,"al-Ḥiwālī, Muḥammad ibn ʿAlī al-Akwaʿ"
0a52e811-11e6-4ec8-9a03-f0941cb5d477,"Silvonen, S."
0a99c526-98b2-410c-9f51-60042d73d4f6,"Laureys-Chachy, R."
0aa9971f-f549-438d-89cf-808f5fe8918c,"Bellwald, U."
0af06ce4-e29c-4182-ae5e-24d667a34bbd,F. Cavulli
0b6b04c9-a163-4fa5-989d-c1e846f756b8,"Huigens, H. O."
0baa3de2-83c4-4405-ab6f-af9604970727,Fotografiajo Inc.
0baa89d7-8a44-48b6-a0dc-5b52b4780429,"Barta, P."
0bc58dc7-7be9-4493-8b45-ae297c8eca07,"Smith, D..J."
0bd1bd77-dfdc-48db-9dc1-eb668bfb8ab2,"Knötzele, P."
0c08ca9b-1d4d-48a1-a31b-124c1f206654,"Schmidt, J."
0c0abc30-30d9-4b27-a9e0-6bea7bb4bb2e,"Beaver, J. E."
0cbcf4a0-c34a-4609-a480-97f5bf7edc8e,"Audouin, R. (director)"
0ccf19d4-dfc5-4b22-89c3-381647c84c74,Rowan et al.
0cfa367e-d840-4dce-a0b6-d9558520096f,"Murray, G.W."
0d005956-430c-4217-9509-ee85947bc500,"Kampbell, S. M."
0d15e602-ba41-4874-ae6e-f4bb0ba27b50,"Rossiter, J."
0d6a23c2-57d9-4bc1-9103-5756de63ffe9,"Abou-Hamed, M.S."
0d9a43b3-6795-4390-bb8a-1de425eaa98e,"Garstang, J. et al."
0d9c637e-cc39-49eb-96f1-77616121c5c9,"Hallier, G."
0dbd4c95-03d9-491e-b7b1-9654079dca49,"Imbert, F."
0dcec059-8e6b-4cff-8441-34b237bb8641,"Yahya, A."
0dfee23e-86c3-4b4f-a97a-ce628957db24,"Miles, J.C."
0e43c196-e3e3-4a8b-adda-1390fe24f79e,"Wissmann, H."
0eae4e87-9701-4dd1-b4a4-c32a9a00bfaf,"Yamafuji, M."
0ed829ea-fb9a-4cab-aabe-d4156765b24a,"Gentelle, P."
0ee73e1c-e0a4-45c9-bcdd-f31217092695,Aysar Rdaideh
0ef06adc-a209-47d2-9bf7-def1ffbf77ea,Akira Tsuneki
0ef517d4-b875-4079-b4eb-a5c8139805ca,"Rozemberg, S."
0f0402fb-19d2-42fe-9b55-7ce63a35f2e7,Tell Hamoukar Survey/Jason Ur
0f2b6089-74e8-4e41-b85f-a3003a514064,Jehad Yasine
0f3764ed-7363-4373-b4bc-87f0185c549c,"Lavigne, O."
0f3f4e78-5253-4bd1-a100-c0757cc49752,Federico Borgi
0f734874-e7d8-4660-a5ae-70896abbd845,"Graf von Landberg, C."
0f9bd4a0-752f-4861-9382-9f20e6b9bf15,"Bliss, F.J."
0fd7f5ad-7764-43ec-9167-8d609bab504c,"Mageni, Y."
0fe817b4-6596-4b4d-ba21-f94a8bc221ae,"Moroni, B."
0ff48b14-be37-454b-8b0a-b7cbb1c54392,"Williams, J"
10042d5e-a953-4510-ac4b-291839bb1578,"Ullah, I."
1006fb0b-8bd0-48d9-a52b-7d76fab1bfba,"Goepp, M."
105bc9f6-3005-4ca4-a4bb-dc5196e30e6e,"Mallinson, M."
106033cd-fc47-4d09-91d3-1a0e9b3abec7,C. Gosset
108e74f5-e98e-427a-93a6-7b082f1a95b6,"Miles, S. B."
10d07c74-339d-4c65-9c90-263138a4d225,"Sedov, Alexander V."
110b6ac2-6db9-4cec-9e77-b11f8bf948f6,"Sala, M.; D'Andrea, M."
113ac45c-5f07-449a-a9a1-a134b6a86cf5,"O'Connell, J"
1160ad7d-4cfa-483a-8c32-468e3946ae8a,"O'Connell, J."
117f6dbe-c6fb-4e0b-b11e-d852bb849d0c,"Colledge, S."
11af28aa-6e59-40d1-b192-2ed431c778dc,"Bewley, R."
11b4d240-27b2-4dee-9980-22384918e0e0,"Clutton-Brock, J."
120b9e56-708c-4385-8790-c157941c6910,Khaled Zyout
12794cf2-0dfb-4b6f-bb66-7a14077c04a4,Hans G. Güterbock
12a7c0a6-bb06-4058-9c3b-6b8068b756d8,"Bron, Fr."
12b0cde7-00c6-4c7a-b758-26ad93659db6,"Bisheh, Gh."
12bb5aca-22cf-407b-a2fe-101bfdb1b502,"Al Tikriti, W.Y."
12c00da6-8258-4e3e-8c27-1ea407cf77d1,Robert Easton
12c52d54-352f-4d65-a096-6332cc1907d8,"Abdallah, Y.M."
130f84d1-142d-4a9b-a207-b56e82470957,EAMENA-CPF trainees
1315605b-37f5-4015-83e1-1655443a7e34,Helloula
